rw        r         Tu        Hl        Tl        Hu        L         Kw        y         
0.190913  25.5472   94593.2   813.699   86.1059   1004.61   1120.01   12080.4   233.171   
0.199624  1030.33   93633.4   735.178   96.5769   881.274   1120.33   10642.8   170.884   
0.193074  195.786   87258.4   719.931   96.053    841.112   1120.67   10165.9   127.184   
0.186575  260.966   77720.1   817.903   94.4619   925.437   1121.08   11116.6   115.086   
0.195732  20.3165   95185.5   776.282   93.2887   939.743   1120.51   12418     215.751   
0.192884  987.848   92968.3   730.121   93.9207   891.417   1120.77   11482.4   189.851   
0.193672  84.6586   101507    703.125   78.7693   804.873   1120.1    12490.9   131.578   
0.196672  213.563   103572    767.1     99.7225   906.195   1120.63   10293.4   153.342   
0.190669  6.37037   76975.8   704.357   70.238    832.839   1120.38   10998.3   142.776   
0.193272  109.091   95088.4   771.394   93.017    950.73    1120.57   10252     190.324   
0.198079  50.7849   88728.3   721.562   67.0021   892.371   1120.69   10092     186.862   
0.190755  282.572   89044.7   812.42    89.7418   912.682   1120.13   9840.58   99.3975   
0.198366  263.02    91078.9   802.074   106.965   921.34    1120.32   9954.55   129.479   
0.194834  2.33474   94131.6   736.251   90.5749   911.686   1120.35   9570.81   177.935   
0.190192  9341.71   90020     807.314   82.1672   964.069   1120.15   9689.8    150.989   
0.18912   45.3632   100339    758.731   96.4052   922.708   1120.83   11479.1   186.756   
0.195548  90.6943   105879    707.847   99.1472   885.997   1120.26   10438.1   197.232   
0.195949  381.722   89381     741.725   81.47     905.98    1120.69   10923.6   189.817   
0.198386  656.304   95348.2   751.318   101.672   910.743   1120.06   10255.3   177.925   
0.180063  5283.79   91830.2   812.87    86.4249   918.893   1120.05   10232.5   96.9505   
0.197122  550.655   89149.5   819.687   79.5569   969.21    1120.3    9529.78   152.747   
0.199545  1127.99   84603.9   807.933   86.3846   957.643   1120.41   12461.4   203.772   
0.184403  120.006   102363    803.458   92.5585   904.916   1120.16   9718.55   93.074    
0.193501  524.4     98111.8   786.209   96.8086   945.157   1120.25   11590.9   190.436   
0.188086  6929.07   80268.5   797.565   100.071   936.031   1120.23   11764.6   158.517   
0.188349  50.9547   104163    770.05    91.6007   942.688   1120.5    11925.4   202.436   
0.190472  15732.6   87530.3   809.823   96.0212   1004.32   1120.45   12770.6   246.645   
0.191213  751.145   97782.9   707.093   82.3784   820.31    1120.2    12276.6   139.707   
0.188764  5.42646   83932.7   791.528   80.2979   974.272   1120      10874.5   197.193   
0.195777  5.82906   105563    791.58    96.0823   973.915   1120.43   12318.1   239.598   
0.190169  105.929   76606.6   724.693   84.103    852.153   1120.29   11099.7   141.569   
0.19708   563.546   79812.3   717.17    91.8982   890.519   1120.85   10927.8   202.894   
0.194874  862.479   85813.5   719.016   88.4329   916.973   1120.28   12707.4   262.519   
0.191632  5.31456   94898.3   731.479   91.2115   835.589   1120.03   11416.9   121.602   
0.197465  37.0589   82400.8   775.136   87.1475   914.963   1120.42   9841.14   148.915   
0.198039  452.589   99521.8   702.641   95.6436   809.443   1120.13   9607.77   111.356   
0.197628  23.6304   89557.3   753.128   90.347    878.559   1120.21   10558.6   143.662   
0.186946  208.006   81103.2   819.132   93.4117   986.223   1120.26   12400.5   200.162   
0.18758   78.6719   101979    737.235   90.3241   883.212   1120.33   11793.5   167.786   
0.193397  2.2567    97412.2   772.368   98.9158   889.095   1120.42   11664.1   142.099   
0.195091  80.7812   98336.6   726.3     84.5019   900.043   1120.12   12240.2   223.697   
0.193996  96.8842   93031     748.879   92.1997   938.392   1120.06   12308.7   242.844   
0.192422  3991.65   77332.1   761.049   75.7848   903.094   1120.27   11074.3   159.502   
0.189049  36.1094   80103.9   737.713   86.5076   867.8     1120.6    9817.88   126.76    
0.199854  43.9794   88868.9   729.779   95.9602   907.566   1120.14   12765     251.014   
0.196109  2.11298   106723    790.316   101.205   913.751   1120.21   9705.84   128.711   
0.195394  30.0111   105207    770.049   93.2446   870.075   1120.07   11602.2   122.961   
0.195528  634.256   93305.9   768.186   83.3791   938.176   1120.03   12458.8   222.52    
0.194508  10.0425   94619.5   797.261   81.8516   991.388   1120.02   10081.7   206.001   
0.193611  7.05522   79341.3   719.036   77.3346   856.149   1120.68   10348.6   147.913   
0.19728   224.104   93507.2   812.804   99.5079   962.86    1120.51   10744.4   173.635   
0.196213  30.3311   91091.6   763.726   89.6421   903.468   1120.1    9601.07   143.542   
0.197555  539.649   91421.3   738.763   80.0842   893.05    1120.12   10752.7   178.293   
0.193518  1103.93   85653.6   745.497   81.9738   893.187   1120.2    12347.1   187.434   
0.171615  6159.62   92885.4   701.598   86.8977   802.009   1120.49   9817.85   80.1553   
0.190866  372.105   81397.7   716.143   89.3552   830.114   1120.22   11055.5   126.795   
0.199977  2627.04   79364.1   768.495   84.8109   908.224   1120.37   9731.88   149.579   
0.197638  206.941   106917    781.692   112.359   947.126   1120.37   10876.3   194.791   
0.193814  1.43282   108233    746.019   97.1617   881.339   1120.93   11473.6   162.811   
0.197552  81.3949   76861.6   738.309   64.3714   849.166   1120.1    9689.42   115.746   
0.192888  9.90581   87218.9   707.22    90.2006   829.971   1120.3    9746.27   123.944   
0.188132  3583.26   94940.4   714.378   92.1104   899.907   1120.12   12178.6   219.765   
0.19629   20.8447   92389.7   769.339   72.3024   937.92    1120.14   9730.07   175.36    
0.19946   624.65    86339.6   763.136   78.3454   918.162   1120.1    12490.1   211.243   
0.197819  945.405   96237.6   727.355   105.726   878.492   1120.14   11054.4   180.57    
0.189625  1001.64   89013.2   777.595   100.013   938.045   1120.01   11185.8   178.273   
