sigma_e   rw        r         Tu        Tl        L         Kw        
2.12066   0.160378  8249.63   65072.2   88.2055   1219.83   12418.5   
1.87925   0.160581  10.058    73765.6   104.43    1596.54   11082.7   
2.01922   0.150059  526.748   111690    115.127   1607.15   12927.6   
2.08346   0.168904  1143.53   76389.2   100.915   1516.88   12705.3   
2.3009    0.172988  9.13615   108321    95.0639   1520.53   10532.2   
1.96662   0.150038  4.2038    94956.8   63.7867   1641.45   12797.2   
1.93113   0.168775  4.77992   110242    86.6044   1639.64   9532.62   
1.92411   0.158696  2620.18   96350.9   71.1421   1648.84   11425     
1.95369   0.133973  1593.43   105963    112.704   1531.58   12108     
2.16369   0.181197  7.63208   97314     82.2251   1136.74   12858.8   
2.06689   0.146537  26071     80118.5   87.8266   1214.5    11698.1   
2.09588   0.136235  48.5622   83354     82.1975   1248.73   10857.1   
2.04753   0.148391  859.711   73922.3   69.0239   1574.12   12576.8   
1.96077   0.150395  4.55975   73484.5   77.8617   1450.38   10936.9   
1.95746   0.170895  4305.01   93618.8   115.425   1257.14   9985.01   
2.04779   0.134231  2037.49   100287    110.977   1200.22   12947.5   
2.03676   0.157138  1268.75   65305.7   67.6751   1502.5    10687.8   
2.03298   0.138304  512.484   86091.8   96.6921   1506.41   11228.8   
2.15526   0.174385  6068.6    86802.2   96.2003   1472.66   11742.5   
1.90227   0.163349  31096.8   92564.7   67.7847   1126.7    9752.32   
1.91975   0.13782   55642     91797.2   107.742   1310.08   12506.6   
2.1815    0.13844   8.15533   86378.4   111.332   1443.02   9809.55   
1.79412   0.135344  13544.2   88099.5   115.606   1301.22   9869.89   
1.89789   0.165449  0.613898  110472    65.9974   1646.36   11323.5   
2.08524   0.176425  1920.57   73920     99.7526   1493.33   11085.8   
1.96907   0.136756  3.00506   75216.2   101.91    1147.15   12123.1   
2.16941   0.171579  98.8395   77795.7   111.556   1634.03   12820     
2.06436   0.167404  4.56385   69461.6   92.8266   1654.98   9652.28   
1.98798   0.153265  67.8044   100403    112.495   1186.57   12669.6   
2.02589   0.160309  3670.67   108524    67.3      1631.2    10593.1   
2.11173   0.165413  553.441   113313    73.8807   1472.32   10111.1   
1.96054   0.160994  4042.89   90226.2   79.0921   1294.26   12078.1   
2.00459   0.162741  35.6379   104100    92.0312   1432.22   10983     
1.83083   0.132593  15.9611   95983.8   62.4094   1210.16   12259.8   
1.95868   0.159877  29614.7   99304.9   67.9129   1226.29   12592.8   
2.1283    0.14949   4345.48   88993.4   87.041    1322.65   10896.7   
1.8705    0.147455  7275.86   76213.7   96.1939   1576.68   11054.4   
2.36362   0.165004  57313.1   95432.2   72.3537   1160.48   11559     
1.93639   0.166709  87.1693   110836    86.3671   1491.85   11636     
2.22221   0.180055  86.7117   83556.8   79.1764   1211.99   11249.9   
1.89977   0.160485  424.318   63690.7   66.8426   1585.24   10577.6   
2.00775   0.149611  0.647247  79416.3   86.9439   1411.4    11240.9   
2.16279   0.162434  4503.03   75155.6   103.007   1576.22   10189.7   
1.91782   0.156454  232.559   71685.6   77.7154   1602.95   11189.8   
2.0069    0.156253  7.25683   99479     113.016   1631.99   12588.1   
2.056     0.160297  126.389   108071    82.2045   1583.82   11971.3   
2.21281   0.150241  2.73068   82788.4   84.1458   1441.86   11901.2   
2.13585   0.135566  2108.37   92443.4   73.2169   1210.61   10817.9   
2.03436   0.160044  109.924   99035.4   78.9647   1389.52   10874.1   
1.96862   0.138463  9.65808   70537     97.8527   1183.98   9688.03   
2.07271   0.154709  279.172   87735.2   95.2949   1272.03   10360.9   
2.02791   0.164077  1164.06   107307    64.1714   1557.35   9811.21   
1.80402   0.1706    6569.87   87295     86.1879   1456.51   9969.91   
1.99423   0.180486  1964.12   72747.1   86.7049   1167.22   12803.9   
2.22394   0.151202  16909.9   91957.8   106.859   1180.94   11696.9   
2.12954   0.161522  12.6974   113097    84.2012   1246.92   11701.8   
2.13664   0.177676  43616.4   78299.2   63.1888   1599.08   11428.8   
1.95385   0.154461  1.74212   102214    99.2824   1207.34   12629     
2.09499   0.164668  11962.5   111479    109.041   1180.07   12282.1   
1.92503   0.149991  49133.1   66861.5   81.6956   1296.36   11510.9   
2.03742   0.167114  3728.1    96983.5   103.783   1630.2    9528.09   
1.99718   0.169819  343.777   111800    69.6088   1156.67   9664.06   
2.0625    0.184517  90.207    95718.4   92.4939   1399.8    12720.8   
2.09897   0.161733  45413.5   77241.9   65.9153   1429.78   12881     
1.97366   0.156041  15.8382   67410.6   66.9024   1558.25   11317.3   
2.05111   0.1649    6.3964    93213.2   77.9293   1643.33   12718.8   
2.05557   0.142883  347.61    67792     88.4181   1379.22   11193.7   
2.02564   0.170845  855.859   75539.2   75.6024   1619.4    10264.5   
2.34451   0.151246  9446.04   106787    89.2861   1165.58   9833.25   
2.08034   0.157776  23751.6   100479    83.8199   1308.95   10934.9   
2.07036   0.160329  8.69274   86553     83.8835   1630.9    9852.01   
2.31034   0.185006  5539.25   80112     81.3409   1639.97   12695.8   
1.90056   0.160942  1198.35   92812.3   89.775    1486.66   11616.7   
1.89838   0.166873  2362.42   108442    73.7086   1380.37   12982.5   
1.89558   0.159679  11.0906   98695.1   105.333   1465.58   10010.7   
1.94073   0.131117  26.9608   65734.8   85.0853   1641.52   9934.54   
2.05738   0.166586  1.75565   73458.4   96.6312   1175.7    10427.7   
1.82508   0.14688   1702.35   83034.8   68.1811   1517.1    10223.6   
2.23088   0.147346  42514.4   106443    72.9675   1455.66   11390.6   
1.88199   0.154987  9.70243   97180.6   109.334   1210.23   11659.3   
2.12452   0.158803  3.01863   90632.2   78.2004   1661.95   11892.2   
1.99101   0.16144   2.15138   67358.3   67.9704   1385.74   11736.7   
2.36239   0.168355  96.4473   65824.1   95.9364   1565.13   11556.7   
1.99245   0.138928  2033.61   104311    89.8522   1166.82   11687.7   
2.13266   0.13795   2.48447   72078.4   89.0268   1656.3    12581.5   
1.96853   0.161156  403.019   112826    97.9808   1597.14   12247.2   
1.90634   0.154124  22.7163   100904    105.208   1271.65   11387.1   
1.99578   0.159803  2677.68   93766.2   111.045   1451.08   12933.1   
1.81863   0.153385  1120.19   82151.8   92.7193   1244.27   12751.6   
1.97128   0.166033  7.87088   65573.2   103.278   1131.69   11956.8   
1.84648   0.147682  11931.6   85757.3   69.2743   1569.85   10368.8   
2.01165   0.152529  124.201   93187.9   81.9952   1320.79   10517.1   
2.02471   0.147115  5424.5    97542.5   103.926   1316.22   10669.2   
2.12795   0.156512  3.83634   114832    104.263   1183.97   11662.6   
1.8525    0.175061  3.60109   73260.6   65.7072   1414.13   10565     
2.01471   0.165663  2.1648    105076    77.3171   1402.22   12405     
2.14399   0.163167  2.26349   66129.4   67.8668   1371.75   10265.8   
2.10187   0.169041  1.04416   76972     111.378   1329.95   11076.4   
2.19118   0.159281  16.9001   113644    87.9523   1559      10224.7   
2.01729   0.161286  37718.1   75521.9   91.6999   1644.23   9692.37   
1.87485   0.146854  22.7372   99991.2   74.9554   1469.03   9757.91   
2.03835   0.149936  2449.67   84954.8   105.044   1441.84   12396.5   
2.08591   0.143529  27877.9   109921    94.1322   1430.36   10038.1   
2.06751   0.142337  339.13    104424    72.7231   1171.71   10767     
1.89444   0.139519  4.46114   109563    82.0836   1535.19   11787.6   
2.1485    0.155518  25.8625   84074.9   65.0369   1273.89   10605.4   
1.96376   0.167872  153.306   74174.8   93.8536   1554.19   12020.8   
2.03077   0.163506  59.4226   87911.8   72.4555   1513      10357.6   
1.97982   0.164569  21.9257   95839.6   103.549   1268.26   9915.03   
2.08323   0.167058  2472.57   66978.2   86.1892   1495.37   10871.7   
1.95148   0.164632  2271.01   82819.6   107.995   1424.99   9665.83   
1.93585   0.161907  70.2564   109630    74.5266   1478.69   9606.8    
2.04915   0.154851  1955.14   114930    75.7566   1191.39   11573.2   
2.28979   0.153077  354.789   104371    93.8216   1605.23   9568.4    
2.28552   0.142557  15914.3   100501    98.6192   1203.43   10181.7   
1.99739   0.173748  3432.2    97295.7   84.7596   1345.01   10059.1   
1.99627   0.179319  78.8622   65170.7   67.8268   1620.4    11977.8   
2.08534   0.176725  880.028   115193    88.1875   1320.73   10697.8   
1.95694   0.160838  24033.2   84913.7   65.1565   1383.33   12990.8   
2.00821   0.171949  440.674   84325.8   97.1912   1323.52   11184.7   
2.074     0.172065  264.86    64318.9   65.8214   1214.67   10052.8   
2.06827   0.182191  14.1933   95542.4   82.614    1200.82   10283.3   
2.01542   0.143391  60.0874   110551    76.4663   1527.89   9990.61   
2.01068   0.165928  682.607   81761.6   115.098   1454.66   11565     
2.21099   0.149111  470.241   96192.4   84.2918   1530.01   12688.2   
1.88859   0.141327  33146.8   81990.8   63.7565   1439.39   12516.5   
1.96005   0.162971  55130.9   106098    75.3842   1167.26   9839.88   
2.1932    0.159787  141.744   111129    101.907   1465.03   10868.7   
2.24157   0.175144  27.8791   73348.8   106.646   1512.59   11065.4   
2.13982   0.166657  6190.77   96379.9   99.3257   1502.23   11141     
2.30378   0.168027  4.6173    97573.5   107.304   1144.24   11601.2   
1.95977   0.140264  979.14    85571.8   113.866   1314.68   10550.4   
1.91829   0.159311  72.5297   96004.9   65.5333   1271.27   12892.8   
1.97576   0.143568  7830.09   110542    86.2512   1145.27   11439     
2.3578    0.172974  5.23358   89276.1   109.232   1209.33   9729.76   
2.12851   0.146221  163.258   111536    64.5959   1656.43   12146.5   
2.07936   0.136898  515.437   92057.7   85.2467   1543.01   11814.2   
1.94068   0.149142  132.75    65195.7   96.2669   1573.16   10408.3   
2.238     0.155549  19038.3   73035.2   68.5908   1502.41   11011.9   
2.07649   0.162017  129.577   114172    62.5238   1318.22   10262.7   
2.04304   0.162128  64.7696   94528.4   81.3445   1579.95   9918.05   
2.30457   0.169055  300.609   66946.4   65.9464   1592.32   11305.3   
2.06706   0.143995  155.661   111087    84.6128   1306.69   12709.4   
2.02945   0.165847  17562.9   77035.6   69.9233   1278.34   11707.5   
2.32741   0.164315  34.5773   94343.9   68.7569   1225.74   12548.4   
2.08944   0.143181  1473.74   66775.9   105.028   1150.51   12029.2   
2.16464   0.176874  126.948   105480    72.2553   1175.72   11528.4   
1.9795    0.168785  233.977   76490.8   92.6984   1337.89   10350.6   
1.85349   0.166721  25992.4   88943.5   70.5724   1339.92   9519.86   
2.08293   0.163429  5743.44   85014.3   82.3949   1494.83   12608.7   
2.05106   0.158656  20811.6   111946    63.025    1275.08   11779.1   
2.19658   0.154928  47.8301   73578.5   106.319   1586.42   10224.9   
2.08909   0.1594    486.193   112940    76.2913   1377.36   11084.2   
2.25153   0.162455  1.98826   85042.9   110.958   1508.63   11770.2   
1.93385   0.170786  1.33305   94962.9   64.2148   1337.74   11255     
2.07739   0.162219  9.30994   88046     94.9435   1156.98   12128.2   
1.92778   0.14311   1.18935   75304.2   91.4694   1421.06   11650.8   
2.52518   0.14584   1478.71   73438     78.07     1357.85   10803     
2.00404   0.159165  12.6715   105367    79.8394   1220.35   10717.9   
2.07838   0.166424  0.426416  85890.6   84.9911   1378.25   11270     
1.9638    0.160434  0.796067  98788.7   113.498   1513.21   9952.47   
2.02093   0.151373  25.315    100032    74.1692   1416.32   12489.6   
2.18098   0.170487  139.576   76511.3   71.3104   1187.28   11854.6   
2.13418   0.140058  307.25    71496.4   85.1833   1217.08   11443.7   
1.99525   0.169353  35803.5   74215.6   66.3147   1425.71   11050.8   
2.07783   0.155484  1709.35   102255    106.951   1445.03   11938.9   
2.0072    0.151869  90.5509   98024.2   79.1325   1178.23   9966.28   
1.9977    0.154671  0.806722  93081.3   62.7136   1476.8    11982     
1.98811   0.152404  1082.1    101992    106.763   1305.79   11939.3   
1.83354   0.15591   14044.5   95849.2   90.3252   1560.35   10702.7   
1.96621   0.161526  1898.85   81653.1   69.3714   1221.45   11498.2   
1.95038   0.140722  2.26538   91045.3   108.882   1405.77   11352.6   
2.06577   0.163429  38.4808   90163.9   76.2214   1226.95   10893.5   
2.12532   0.150166  3.92437   97184.2   98.6537   1366.58   10345.1   
1.9484    0.161186  1677.43   104795    98.3408   1329.36   11154.1   
2.02937   0.14488   23613.2   71503.5   109.686   1379.09   9700.77   
2.00532   0.150681  299.363   66098.2   71.8664   1601.83   10456.3   
1.89591   0.177324  14.2033   113812    89.7024   1450.23   11562.4   
2.10845   0.159782  327.599   112219    110.058   1585.08   9720.59   
2.1233    0.150345  14430.4   69417.6   66.3705   1200.54   12019.9   
2.01222   0.159218  83.8396   78780.7   113.513   1571.18   12104.9   
1.98184   0.163398  5.10899   106677    115.36    1132.96   10851.2   
1.88208   0.15821   4233.82   63793.4   68.8822   1470.8    12460.6   
1.92287   0.168155  4.24149   76042.3   72.1742   1306.19   11685.1   
2.12604   0.142506  37.4367   80995.9   68.9325   1496.55   11794.9   
1.8574    0.159137  226.905   108486    75.2116   1569.23   10274.5   
2.22717   0.143726  1115.37   64014.4   64.8707   1168.98   10528.9   
1.90468   0.166266  16.6979   86031.1   99.4176   1598.48   11331.9   
2.53652   0.17663   5639.24   78812.9   82.5633   1428.39   12897.8   
2.03917   0.146883  42.852    72254.7   67.8972   1373.38   9508.04   
2.06392   0.152341  37.8246   93761.2   87.534    1595.47   12448.7   
2.19162   0.155491  3567.51   95613.6   106.193   1666.5    9654      
2.01856   0.166093  92.976    71675.7   71.5843   1312.45   12395.1   
1.91293   0.155071  2.03991   80878.3   64.4482   1507.38   11570.6   
2.01851   0.158148  1.06985   113295    72.4394   1524      11259.9   
2.01836   0.160027  2.84804   71270.8   79.1864   1640.38   10015     
1.96636   0.147241  45425     109683    63.143    1630.58   11337.8   
2.0944    0.164295  30.7895   102874    102.166   1453.64   12501.7   
2.01705   0.146141  0.800686  70327.4   101.035   1222.2    10050.1   
2.18281   0.144783  853.801   111723    104.142   1425.26   10349.9   
1.97153   0.161657  540.445   97094.5   84.024    1458.38   10532.2   
1.90586   0.170667  0.922999  65664.8   98.7867   1355.43   10055     
1.94461   0.166421  2.66203   86664.7   108.766   1129.67   10093     
1.9432    0.167732  43.2336   114883    95.8758   1303.42   10758.5   
1.9124    0.168322  0.372477  110312    100.71    1314.75   10663.4   
2.03825   0.172531  8.80706   105721    75.0154   1270.94   10124     
2.17825   0.153743  33110     89160.2   102.632   1562.39   9749.51   
1.84973   0.158154  2035.74   70719.3   63.535    1226.71   11440.2   
2.06424   0.166615  6.68321   84872.6   106.743   1264.41   11305.5   
2.15073   0.147569  61.7003   101994    103.746   1438.55   12927.2   
1.99161   0.137578  876.786   104729    83.1943   1659.73   12123.3   
1.94296   0.148333  2053.66   78512.8   66.3251   1531.17   11113.9   
2.06489   0.154668  16.2602   112379    96.109    1608.43   11478.7   
1.99716   0.165998  448.65    93437.2   91.5586   1216.41   9974.95   
1.92834   0.146648  5041.81   94805.4   103.167   1326.85   10161.9   
2.0261    0.167852  805.599   70473.3   103.17    1312.1    11050.8   
1.97449   0.157538  1102.69   71757.4   78.3662   1468.51   11571     
1.72238   0.132525  62.0892   80848.3   115.019   1369.94   12183.9   
2.4456    0.170104  3463.28   99130.7   89.2479   1302.63   10936.3   
1.89315   0.178546  95.3587   106593    102.79    1587.13   12026.6   
1.98966   0.143562  856.536   105757    99.7435   1390.76   12584.4   
2.03612   0.1647    265.852   89278.5   82.5578   1460.52   12555.3   
1.91386   0.176413  15520     86193.4   64.3595   1634.02   9966.06   
2.07612   0.170012  8.49065   103771    95.3536   1390.3    10729.2   
2.18816   0.167987  32.011    92521.5   75.7865   1160.98   10218.5   
1.99805   0.176749  364.391   62762.6   90.4165   1585.2    11798.6   
1.99615   0.155254  3174.09   107388    108.381   1290.62   9998.01   
2.01976   0.176628  30785.3   88916.8   88.9133   1663.16   10575.2   
2.20755   0.173817  19.9048   65480.7   97.7596   1183.62   11982.6   
2.1444    0.171106  162.249   66983.1   63.8723   1364.65   10882.8   
2.01189   0.147704  24173     73991.8   83.3424   1461.41   10203.8   
2.11247   0.164708  516.129   109307    112.082   1472.94   12335.4   
1.90706   0.162925  8739.63   112400    91.4376   1431.36   10969.5   
1.93869   0.147769  4117.06   71467     107.377   1278.68   11409     
1.97087   0.17581   14.2922   89537     97.8145   1558.29   10069.7   
2.28892   0.13896   154.245   109792    96.6179   1441.3    12422.3   
2.01038   0.15222   12149.7   91272.7   112.358   1264.09   11277.8   
2.04609   0.164398  52.6384   72116.6   109.562   1450.24   10080.3   
1.94356   0.131787  6.50161   85058.7   68.885    1530.67   10465.9   
2.00642   0.153703  263.072   113010    79.1255   1210.56   10788.9   
2.00738   0.150878  32.2734   71542.2   80.1283   1640.4    10333.1   
1.96367   0.147265  15.3917   68421.7   69.813    1624.57   12451.7   
1.96577   0.156206  35.4112   90127     63.8038   1631.88   12102     
1.79563   0.138749  304.341   76641.6   88.5009   1594.59   10385.8   
2.14214   0.157491  31.0091   85870.2   102.307   1306.52   12518.4   
2.12224   0.163131  6.48064   68408.4   76.5793   1551.78   12718.3   
1.88811   0.156977  32822.2   93101.1   75.6103   1187.97   10036.3   
1.92559   0.150492  132.592   73801.3   110.292   1577.8    12147.4   
1.98536   0.140126  110.723   62752.1   82.5326   1619      9847.74   
2.17761   0.150522  2444.79   111174    103.254   1497.38   9853.16   
2.06685   0.168725  0.421285  65476.8   87.9483   1567.19   12140.7   
1.8536    0.158243  8411.07   68777.8   63.2382   1331.19   11431.5   
2.00498   0.160851  78.9257   93930.4   102.314   1648.84   11271.2   
1.98905   0.153959  0.450565  65653     73.6152   1654.83   10668.2   
2.19444   0.159863  36.9367   98574.4   67.859    1506.63   11061.9   
1.87598   0.156853  2.08489   91194.6   68.1003   1128.17   11808.3   
2.07425   0.157485  14878.5   112663    77.3482   1643.43   9907.85   
1.97916   0.144479  4.94536   70033.6   88.4312   1396.09   10504     
1.99278   0.168222  17079.8   73726.8   74.3467   1254.07   11890.2   
2.18      0.15454   4748.08   81626.3   99.9511   1279.51   10517.9   
2.03601   0.16252   4.67163   90594.8   98.7934   1486.67   9989.85   
2.15097   0.157383  96.3716   89407.8   94.6525   1210.86   10334.6   
2.17622   0.149888  30.4018   78035.4   96.9861   1479.74   9854.98   
2.09209   0.163534  986.925   110508    67.2208   1505.7    10842     
1.9301    0.161534  49.0461   114173    77.4838   1309.76   12437.1   
2.05464   0.164013  4.6473    65031.7   78.187    1496.14   10023.6   
1.99399   0.16393   54.832    97702.7   87.0809   1207.26   11528.2   
1.86948   0.154647  2.25917   79662.1   76.5294   1354.88   11982.9   
1.97077   0.138528  80.6282   69050.2   74.0023   1277.6    12195.3   
1.8729    0.151089  53.3357   81200.9   64.1719   1299.96   12169.7   
2.08576   0.152379  2.11456   111024    100.687   1370.59   12545.6   
2.16337   0.168833  37454.6   71107.3   111.899   1301.64   12985.7   
1.97502   0.16733   141.399   103291    82.5001   1193.03   10285.1   
1.96235   0.160869  28.4104   99418.1   101.95    1492.66   10845.5   
1.98198   0.165171  514.825   76596.7   112.688   1597.36   11370.6   
2.15171   0.170208  24430.8   66156.7   83.8945   1556.26   9606.84   
2.02389   0.147447  118.568   102826    105.497   1456.96   9838.8    
2.05997   0.155107  1.68868   83642.7   75.0545   1213.83   9776.05   
2.09522   0.156612  0.382927  97665.6   85.8762   1469.2    12413.7   
2.24051   0.146255  9044.58   78332.1   112.319   1200.87   12149.1   
2.18571   0.149896  41338.6   105755    66.2533   1566.62   12553.1   
1.91957   0.166721  4.90268   93607     104.844   1210.05   12053.4   
2.00741   0.174928  5.11903   77287.4   83.6242   1373.82   11134.1   
1.87669   0.151198  1.82543   93932.4   103.099   1324.96   9758.58   
2.0184    0.169077  176.793   75888     102.73    1305.5    10431.5   
1.88856   0.164085  0.571466  75025.5   74.7139   1137.98   12598.6   
1.97499   0.170713  78.4111   81794.2   88.241    1176.23   10338.6   
2.01323   0.165557  16232.5   107826    99.7648   1631.79   12935.8   
2.025     0.15059   42.2406   81932.9   93.898    1341.17   11404.6   
2.02865   0.163353  169.429   104817    104.388   1629.79   11614.6   
2.22808   0.154006  1749.6    76424.3   87.8471   1543.99   11997.3   
1.92532   0.138725  1514.33   94828     63.6983   1412.11   11881.8   
1.98957   0.17248   61.8109   62468.3   67.9737   1357.94   12461.7   
2.04666   0.163838  2120.59   115209    71.4344   1378.62   10599.9   
1.96862   0.146427  110.926   93135.1   78.7542   1454.52   11192.9   
2.22863   0.143323  393.111   85437.3   108.032   1518.13   10371.2   
1.88923   0.138098  17608.3   66051     88.5342   1208.38   12367.9   
2.11879   0.163387  1337.39   96080.2   102.97    1518.36   11146.3   
1.93876   0.156863  109.138   76121     82.0461   1506.86   11420.1   
1.9221    0.165533  10230.7   70105.5   72.3493   1506.63   11279.6   
2.18011   0.162672  6987.16   73336.7   84.6839   1439.09   10269.6   
2.0918    0.151295  12.8725   112071    78.7702   1582.42   12394.7   
2.217     0.177079  45.9128   111694    106.746   1164.56   10407.1   
1.89808   0.142028  5.85369   95422.8   66.136    1650.89   11843.5   
1.97876   0.145973  27992.2   92690     86.074    1176.15   12385     
2.16392   0.152707  29289.3   104001    94.868    1634.84   9545.6    
2.12285   0.143275  68.129    91191.7   102.246   1268.77   12501.2   
1.98591   0.147586  1314.2    98303.6   108.91    1449.72   11085.1   
1.98229   0.162207  8036.9    112459    73.2383   1542.41   10980.6   
2.12236   0.137606  217.085   108639    77.1052   1571.36   9588.02   
1.95454   0.162434  1.19321   106244    82.6711   1408.52   10535.1   
2.06058   0.176867  55.2639   89489.9   84.5447   1286.04   10612.5   
2.13211   0.160627  803.325   113057    110.91    1288.58   12512.7   
2.11685   0.173587  13.5059   94354.5   110.186   1469.65   11895.5   
1.99646   0.140065  98.1842   96220.9   69.6928   1649.9    10356.9   
1.97709   0.160145  4.01977   88692.7   73.1427   1358.51   11796.6   
1.97599   0.17003   3655.43   74191.3   83.8171   1590.99   12327.5   
1.97339   0.173681  790.096   74334.3   83.0726   1446.45   12468.2   
1.8198    0.149235  0.767926  75219.7   72.0141   1513.71   10406.2   
2.11857   0.152949  23.8013   105394    90.4124   1605.1    10137.4   
1.99092   0.145362  15697.1   80060     98.1868   1214.9    9569.18   
2.24473   0.149073  0.546202  80766     82.3382   1172.56   11148.3   
2.22284   0.145932  175.341   89522.5   102.598   1572.48   10237.4   
2.15818   0.136484  2038.26   72220.7   85.7346   1363.03   12619.1   
2.06848   0.173121  0.781702  79665.8   84.1278   1408.41   11335.9   
2.06236   0.15518   130.588   99091.9   85.1486   1152.12   12456.1   
2.15147   0.176626  43.126    108992    66.1387   1570.01   10241.3   
1.98285   0.146528  113.103   111961    73.7645   1558.23   10386     
2.06176   0.174735  122.05    72264.7   75.3691   1223.43   12762     
1.98459   0.161781  0.466     97172.6   66.2143   1583.76   12439.8   
2.04613   0.175882  41.5152   102369    94.9996   1555.83   11186.4   
2.13718   0.181785  583.376   71402.9   87.5427   1311.09   12978.3   
2.02859   0.158679  41876.6   70912.9   71.4066   1130.35   12888.4   
1.86156   0.13544   132.325   71494     63.4401   1557.1    10351.5   
2.03797   0.144778  55362.4   105034    77.0775   1223.01   10900.7   
2.02741   0.141294  43.3978   106442    69.8012   1510.96   12518.7   
2.0372    0.156251  734.305   73007.4   64.243    1509.68   11437.3   
2.22934   0.176691  19639.5   97946.5   105.037   1513.8    10252.3   
2.01064   0.141319  0.521088  66936.7   95.5847   1369.43   12863.8   
1.9961    0.165214  4.50414   110787    85.9256   1490.4    12013.7   
1.94411   0.1552    8.10193   75758.8   84.6186   1612.92   11871.9   
2.10972   0.153604  55.3094   90841.7   67.6664   1419.14   11778.2   
1.8812    0.156589  23250.9   99032.6   70.554    1633.05   9914.13   
2.18574   0.150487  22601     70853.1   67.2265   1596.06   12354.2   
1.97993   0.133178  1555.57   87126.7   70.2499   1220.41   10661.2   
1.90851   0.171144  3846.1    88729.6   100.644   1635.11   9577.35   
1.778     0.144429  5728.23   97691.9   93.3487   1450.09   12630.9   
1.9212    0.172985  29682.6   95812.2   112.45    1164.06   9665.25   
2.19385   0.160992  56222     103403    66.3828   1437.95   9847.71   
1.91216   0.147754  13413.7   115413    83.0778   1571.79   11746     
1.95985   0.165652  30.9781   99277.5   71.3743   1484.43   10582.2   
1.9261    0.148062  10.7139   71734.7   94.1187   1436.85   10955.3   
1.98381   0.16435   1279.54   68291     75.749    1557.99   10669.7   
2.08011   0.137507  206.641   105702    93.143    1134.1    12589.7   
2.07456   0.168264  8.92929   73488.7   80.6634   1445.23   12813     
2.16916   0.135367  2956.88   79435.1   84.5645   1643.31   12034.4   
1.92285   0.168214  4157.62   104768    101.716   1254.42   12896.3   
2.14829   0.174065  464.711   109080    110.293   1375.49   12131.4   
1.86905   0.149257  120.813   93994.5   80.9813   1452.69   10239     
1.9327    0.162444  1502.58   64281.5   112.217   1334.64   11407.8   
2.16866   0.153845  384.08    107681    81.9109   1470.29   11078.8   
2.02838   0.143953  893.146   113700    90.516    1642.33   9717.97   
2.00508   0.16716   1.14866   86708.9   110.697   1607.53   10464.5   
2.06613   0.172294  1464.73   78985.3   67.7761   1507.35   10027.7   
1.90085   0.148906  670.837   68351.5   66.9665   1469.86   10948.6   
2.03037   0.152909  8.51683   77400.4   63.1003   1371.08   11973.3   
2.14682   0.156647  1584.62   96750.3   92.2807   1560.12   11585.4   
2.07026   0.171503  10.8668   90111.4   78.4196   1365.96   11033.7   
1.98436   0.160579  38.6999   82687.1   70.1545   1509.94   12393.8   
1.86312   0.176745  9314.13   71914.3   62.7831   1586.12   9732.39   
2.06825   0.162102  109.705   80151.7   83.9934   1271.11   9908.76   
2.02001   0.17311   0.663144  83356.2   70.7749   1543.13   11300.5   
1.90349   0.166446  2.38992   106043    99.713    1469.27   10804.4   
2.08201   0.154869  46.3452   84820.1   104.039   1564.43   10016.4   
2.07432   0.133765  5.13065   85138.2   81.9076   1419.52   11322     
1.99254   0.13857   579.865   94336.9   66.4909   1325.13   11240.5   
1.93467   0.174544  247.506   106016    92.1071   1338.49   10527     
1.86974   0.175033  7904.32   115367    70.2283   1407.39   12658.9   
2.17596   0.153486  273.518   93109     93.8164   1451.86   11660.8   
2.01242   0.147072  1.68088   94165.4   108.386   1563.4    11732.9   
2.07772   0.1547    302.92    111142    82.5777   1156.38   12535.5   
2.26909   0.168082  12971.4   101144    111.17    1164.54   11332.9   
2.23814   0.140513  1.37918   103670    66.4106   1523.42   9571.22   
2.06929   0.172237  280.008   90986.5   82.3146   1355.32   11390.9   
2.07318   0.149475  38335.8   103380    71.0624   1187.7    10638.5   
2.0548    0.16687   4828.51   114424    78.211    1263.79   9808.2    
2.02525   0.136715  932.282   105680    108.052   1292.05   11145.5   
1.91062   0.1622    24.9744   115696    97.0244   1279.55   12416.9   
1.88495   0.146453  7914.24   113734    72.5322   1505.88   12152     
1.97477   0.156817  4.63969   99316     70.0062   1281.93   11215.3   
2.30809   0.170479  7.73797   70961.4   66.2746   1650.09   12687.3   
1.93147   0.156064  31224.3   84878.6   66.394    1288.67   10443.7   
2.0479    0.174001  0.942428  87647.2   77.1395   1244.03   10913.7   
1.89161   0.161287  21.6532   87600.7   110.226   1544.51   10827.5   
2.09308   0.150744  155.084   82314.8   102.786   1619.72   10208.9   
2.05895   0.16371   2155.78   83903.8   80.158    1436.61   12484.1   
2.07145   0.16044   0.485018  67860.2   100.629   1631.04   12871.8   
1.98496   0.167997  19.8747   84770.5   76.1767   1278.18   11360.1   
2.07356   0.158107  4550.96   109065    91.2489   1381.03   10522.8   
2.02413   0.167827  22210.9   75239.9   74.7789   1591.63   10649.6   
1.9402    0.169329  1049.7    70369.7   105.639   1456.97   10717.9   
1.95361   0.154613  852.867   112878    83.814    1655.02   9734.13   
2.23697   0.177152  0.488163  82865.1   85.7714   1377.61   10429.2   
2.3982    0.141161  138.913   65458.8   64.4473   1558.78   9754.38   
2.04703   0.143188  39183.7   65214.4   77.3116   1453.82   11352.5   
