sigma_e   rw        r         Tu        Tl        L         Kw        
2.00058   0.147693  180.569   113493    69.2809   1599.07   9986.5    
1.95314   0.148895  0.371996  70118.7   89.3013   1370.87   11976.9   
1.88787   0.176933  7.20318   85990.4   92.2569   1219.66   10804.2   
1.99869   0.168495  5117.62   65693     87.7639   1482.18   11696.6   
2.01704   0.140771  4503.88   78203.7   105.234   1655.53   12803.6   
2.03211   0.16763   20437.2   96814.8   81.0451   1202.96   12533.8   
2.11139   0.174563  96.2932   73436.4   70.7571   1170.71   12453.5   
1.92198   0.163042  1.02924   77165.7   68.098    1323.98   9909.05   
2.06303   0.158619  191.732   70302.1   103.703   1394.42   10177.4   
2.27621   0.148171  1.67435   78678     98.1946   1220.21   10923.5   
1.91953   0.148903  57.4678   107128    110.279   1152.3    12264.6   
2.21209   0.163453  12.0031   95231.4   110.908   1378.19   12223.8   
2.24652   0.148892  48201.3   102716    68.6808   1188.98   11541.8   
1.81629   0.139868  5598.32   79249     65.3202   1679.5    10967.1   
1.87869   0.172277  163.303   88958.1   85.0165   1634.58   10003.8   
2.15677   0.143532  104.457   72080.7   109.699   1137.09   10977     
2.25365   0.151807  732.008   86244.4   64.1008   1342.17   11823.7   
1.96215   0.155054  495.907   104206    75.5469   1401.25   11483.4   
1.90937   0.163563  244.915   72632.4   98.6377   1211.46   12982.2   
2.01167   0.148524  35016.9   68535.7   70.9743   1558.49   10054.4   
2.15228   0.133469  73.0635   71969.5   64.2621   1634.41   9921.89   
2.02229   0.151678  24670.6   82494.6   86.1902   1278.29   12771.5   
2.0109    0.155856  0.453741  107945    86.4483   1378.91   10330.6   
2.19297   0.141814  580.291   101403    101.394   1371.85   12901.7   
1.96671   0.152042  36.5051   70458.7   71.1098   1623.22   12968.8   
1.99136   0.16236   2569.23   90912.7   72.4747   1254.81   11474.7   
1.97876   0.161697  7.54044   115048    66.8959   1590.61   10534.5   
2.05921   0.158675  43520.1   77247.7   75.8012   1254.17   12036.7   
2.0855    0.158497  6999.45   109118    99.2237   1156.63   10320.3   
2.02175   0.169863  13036.3   76758.6   96.5784   1635.6    9513.33   
2.08958   0.15121   6612.59   115547    78.921    1449.23   12646.4   
2.1674    0.138316  52463.8   88444.1   81.1361   1205.6    10117.3   
2.15933   0.164029  76.0524   103931    89.6219   1179.88   11848.8   
2.23902   0.16409   4422.31   107465    85.4987   1667.99   10838.2   
1.96506   0.154299  1399.74   114219    94.7254   1602.2    11603.3   
1.93841   0.146103  9.25737   110867    96.5273   1292.61   12059.5   
1.85667   0.165567  17.3345   89289     62.4564   1291      11727.7   
2.02347   0.151301  9705.57   68663.6   109.761   1461.5    12498.7   
2.03145   0.153067  7385.25   70954     89.872    1214.03   12244.3   
2.30825   0.169775  499.985   78212.2   87.5192   1380.8    11088.1   
2.10121   0.180674  39.9913   95945.5   96.2313   1304.13   12326.3   
2.09183   0.13996   83.3223   68970.4   63.8172   1173.49   9996.07   
2.11295   0.170673  9.31481   68981.4   100.575   1402.78   9927.25   
1.90913   0.164079  184.117   67080.3   79.7113   1296.58   12084.7   
2.09664   0.170524  2.17181   93125.6   105.73    1280.52   10539.4   
2.01537   0.146645  12.6766   91299.5   83.6363   1651.06   12591.1   
2.22778   0.170503  6411.28   95718.5   86.9763   1176.16   10816.6   
1.93246   0.162314  2810.09   83580.4   79.7292   1334.33   9704.07   
1.92089   0.164169  4.0132    84252.8   68.774    1542.86   10382.7   
1.91659   0.148447  33812.5   89909.2   103.594   1592.43   10702.4   
